form	lemma	freq	seg	pos	gloss
'al'alihan	'al'alihan	12			很近
'alingo'	'alingo'	12			
'amiS	'amiS	12			阿美族
'angangen	'angangen	12			責罵（受事）
ba:yoSen	ba:yoSen	12			[受事]颱風
babe:ay	babe:ay	12			要送給
botoe'	botoe'	12			綑綁
habaehen	habaehen	12			
habiyalan	habiyalan	12			黃色；黃色的
hato	hato	12			那邊
hebel	hebel	12			拔除；拔出
ho'mol	ho'mol	12			
'inkahoelan	'inkahoelan	12			娘家
'ititi'an	'ititi'an	12			少
'itol	'itol	12			
'iyasiwi'	'iyasiwi'	12			天黑
kabae:iwin	kabae:iwin	12			買（受事；未來）
kae'er	kae'er	12			柱子
kakita'an	kakita'an	12			看（處所）
kaksis	kaksis	12			癢
kala'	kala'	12			簍子；背簍；籃子；竹籃
kalhib	kalhib	12			洞穴（天然的）
kamakiSka:at	kamakiSka:at	12			學生
ka'omaSen	ka'omaSen	12			（醃漬物？）
kapa'onhaelan	kapa'onhaelan	12			朋友
kaSahoe'en	kaSahoe'en	12			
kaskes	kaskes	12			冷
kataleken	kataleken	12			
kitoyae'en	kitoyae'en	12			餓
la	la	12			多數；啦
lilom	lilom	12			南瓜
ma:is	ma:is	12			很硬
malnoSaySiyat	malnoSaySiyat	12			說賽夏語；說族語
maraS	maraS	12			帶；帶領；帶走
maSkan	maSkan	12			設置；放置
mis'eh	mis'eh	12			濕的
monhae:ae'	monhae:ae'	12			落下
'oral	'oral	12			下雨
pinoSakan	pinoSakan	12			糯米酒
poralom	poralom	12			澆水
poSak	poSak	12			釀酒
powa'	powa'	12			什麼；為什麼；怎麼
rarang	rarang	12			汗水
remek	remek	12			催熟（水果）
rika:	rika:	12			發燒
rinoton	rinoton	12			存
rolrolon	rolrolon	12			
Sahoe'en	Sahoe'en	12			燒（受事）
Sahoero:	Sahoero:	12			看見；看；發現
sapih	sapih	12			
Sile'	Sile'	12			項鍊
sin'el	sin'el	12			
ta:an	ta:an	12			
talobong	talobong	12			竹杯；竹筒
walwalo'	walwalo'	12			蜂蜜
wawatos	wawatos	12			槍
babih	babih	11			解開；拆開；分解
baSi'	baSi'	11			男子名
bengez	bengez	11			鬼茅草
boehoe:	boehoe:	11			弓
hayayo'	hayayo'	11			
lakay	lakay	11			剖切；打破
maSangay	maSangay	11			休息；放假
minaSa:eng	minaSa:eng	11			坐著
minoSa'	minoSa'	11			去過
minrawko'an	minrawko'an	11			山凹處
nga'nga'	nga'nga'	11			
'o'owa'	'o'owa'	11			嬰兒；娃娃
paehrahrang	paehrahrang	11			商量
pakita'	pakita'	11			讓看；給看；使看；看法
pakra:am	pakra:am	11			讓知道
panpanra:an	panpanra:an	11			走走
paSibae:aeh	paSibae:aeh	11			借
pinawka'	pinawka'	11			遺失；花費
rakepen	rakepen	11			抓到
rempe'	rempe'	11			傳染
roton	roton	11			堆積
Sahpi:ih	Sahpi:ih	11			過去；過了
sater	sater	11			
Sepe:	Sepe:	11			數（計算）
Sika:at	Sika:at	11			寫下
sisil	sisil	11			綠繡眼（占卜鳥）
sisilin	sisilin	11			抬起
sithaw	sithaw	11			
Sompan	Sompan	11			養（主事）
tababon	tababon	11			鵝
temeleng	temeleng	11			
tikinSa:o'	tikinSa:o'	11			煮晚餐
walae'	walae'	11			減少
katboS	katboS	10			
katbos	katbos	10			
Singil	Singil	10			
singil	singil	10			
'a'apis	'a'apis	10			夾子
'altikal	'altikal	10			掀開（蓋子）
'amkay	'amkay	10			不會
'apis	'apis	10			
'ataS	'ataS	10			
'atomo'	'atomo'	10			三角湖
'awi'	'awi'	10			
baba:ok	baba:ok	10			飽
bae:aeh	bae:aeh	10			炭火
baehi'in	baehi'in	10			洗（受事）
balaS	balaS	10			雄性（動物）
balayan	balayan	10			弧形（底）鍋
bangeS	bangeS	10			皮
boya'	boya'	10			蜜蜂
haloehan	haloehan	10			滑
hangra:en	hangra:en	10			
haSab	haSab	10			口水
hawaeh	hawaeh	10			開門；打開
hihimi'an	hihimi'an	10			
hila:	hila:	10			他們
hinabaeh	hinabaeh	10			
hinghingha'an	hinghingha'an	10			安靜
hinoba:ang	hinoba:ang	10			圖片；圖畫
homoehoeh	homoehoeh	10			拉
honasamez	honasamez	10			悠閒；空閒
hororay	hororay	10			便宜
'in'alay	'in'alay	10			從；自從
'in'alay	'in'alay	10			
'in'itol	'in'itol	10			起床；起立
'inmita'a	'inmita'a	10			咱們的
'isa:	'isa:	10			就；也
ka:as	ka:as	10			咬
ka'aSkanan	ka'aSkanan	10			放置（處所焦點）
kaehos	kaehos	10			以杓汲水（祈使）
kahoehoe'an	kahoehoe'an	10			
kakapos	kakapos	10			三角形布片
